fclass,year,quarter,quarter_num,NDVI,BSI,ndvi_qoq_change,bsi_qoq_change
primary,2017,Q1,1,0.22644282751295475,0.19214767732699822,,
primary,2017,Q4,4,0.2017245558493087,0.15908418408042646,-0.02471827166364604,-0.03306349324657176
primary,2018,Q1,1,0.19305728129959854,0.22226284287245943,-0.008667274549710169,0.06317865879203297
primary,2018,Q2,2,0.42727350734674685,0.058715004451397816,0.2342162260471483,-0.1635478384210616
primary,2018,Q4,4,0.18911273560883748,0.10074550018281964,-0.23816077173790937,0.04203049573142182
primary,2019,Q1,1,0.17486616363248816,0.15453792011660575,-0.01424657197634932,0.05379241993378611
primary,2019,Q2,2,0.20909586987254278,0.10095228031458489,0.034229706240054614,-0.05358563980202086
primary,2019,Q3,3,0.09663328613343752,-0.011049753045522982,-0.11246258373910525,-0.11200203336010787
primary,2019,Q4,4,0.21684408883260872,0.10577211766553032,0.1202108026991712,0.11682187071105331
primary,2020,Q1,1,0.1682816990180004,0.12984656215348514,-0.04856238981460831,0.024074444487954816
primary,2020,Q2,2,0.20144016721585364,0.10418462595356971,0.03315846819785323,-0.025661936199915428
primary,2020,Q3,3,0.2200828162957854,0.09495587074602183,0.018642649079931767,-0.009228755207547887
primary,2020,Q4,4,0.20470865877716427,0.1038634539659305,-0.015374157518621145,0.008907583219908671
primary,2021,Q1,1,0.16426795356289772,0.11528065359770638,-0.04044070521426654,0.011417199631775884
primary,2021,Q2,2,0.18403282448831126,0.1113472911443118,0.01976487092541354,-0.003933362453394582
primary,2021,Q3,3,0.17934094942799678,0.08511407337130797,-0.004691875060314488,-0.02623321777300383
primary,2021,Q4,4,0.2138542023672919,0.11264081151066727,0.034513252939295136,0.027526738139359297
primary,2022,Q1,1,0.16492457257871865,0.1582285496860352,-0.048929629788573265,0.04558773817536793
primary,2022,Q2,2,0.20604250342528735,0.10073287509677892,0.0411179308465687,-0.05749567458925628
primary,2022,Q3,3,0.29883684602766375,0.040022426931570626,0.0927943426023764,-0.06071044816520829
primary,2022,Q4,4,0.22136033894077836,0.11377245862560449,-0.07747650708688539,0.07375003169403387
primary,2023,Q1,1,0.17702235436642408,0.13807409960059222,-0.04433798457435428,0.02430164097498773
primary,2023,Q2,2,0.2079818378898824,0.09740512625975226,0.030959483523458314,-0.040668973340839965
primary,2023,Q3,3,0.36433671929831885,0.048585513927930535,0.15635488140843645,-0.04881961233182172
primary,2023,Q4,4,0.21958981941130704,0.11720474524147462,-0.1447468998870118,0.06861923131354408
residential,2017,Q1,1,0.2213433421264197,0.198623286879636,,
residential,2017,Q4,4,0.2908547576825005,0.1536935732647479,0.06951141555608081,-0.04492971361488812
residential,2018,Q1,1,0.24824508265589226,0.18939570661966057,-0.04260967502660826,0.03570213335491268
