edge_id,query_lon,query_lat,status,http_code,error_msg,used_radius_m,image_id,thumb_url,captured_at,img_lon,img_lat,nearest_dist_m
419,-0.2535817542885597,5.533727310384008,no_image,200,,300,,,,,,
8470,-0.15679180175748816,5.5574350775783525,ok,200,,300,311769408442150,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-a77gqkxNSVDoHMs6JVypToR4P24Rnr8D-eo2GoKILfp8q95En6B2Y9ZF-tYiFOhxjnEbIQ5BBVSOJO_NpAGxfKOVwzzQ5UF5Ilz6NlJ22RullDyqjA74b9zL7mD3DOwlWtwgiIf4zlzszEFsQNw?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=GKolW5Og7CE15HnPT6JjmQ&_nc_oc=AdrDYp1L0jB9VoKx5Tik04YSVUNckktt0yIh7kKVj9UuVZaIFJE2Tn9PJHmiI5tNJmU&ccb=10-5&oh=00_AfzvwJsV9A2gEHnZ0eebUNDzld4IevFwGHygnoIW6eqKvQ&oe=69EE1559&_nc_sid=201bca,1701761221488.0,-0.15714730000241,5.5597222222222,257.3441694274246
11461,-0.18507787508596743,5.574483555867311,ok,200,,300,191553886162615,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9bVpQUb_qXkmr-hg-4HKmY3r5G6hanRrvTWOzwnut4MplWs0vFXi526cvIh7YWhaa8kRgoYRxyAOxnmSmaBUGotLvDKY9Tt5B0c_E5dzIoZHZdfA1ODWahQ3tafmBVOl4UplLzMOPVWuU2XUkV8jY?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=l1lQEXq7EKnl-UM5SDLswA&_nc_oc=AdoiTtD6CHTTwHklm3PcTaGpYewrO1QsdlQ0lQCjF128kLYF9m8DYGBBOOOYZ9xCa8M&ccb=10-5&oh=00_AfwSY5rpMvcu554JJ3Smpo_n74-FUHNqP4LHuIxmJwnhAw&oe=69EE07FA&_nc_sid=201bca,1538674211000.0,-0.18610632972222,5.5735921952778,150.92488139740067
11629,-0.20461633040660315,5.576193724434702,ok,200,,300,1557597291510931,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9548cm_Kp1g5DlGxWn_Z1RPLTyQD-y1eGe0esShuHBkgi2ODUFb3fd8_MXXQA4M_-8aBnYrtzKVXrB5QMdqYEk4nNCD0E_9IEzOjq-F5Ork9qcPk2Fy0UrmDw9HKEBbFQo8u30RhBsIOvHvUKnog?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=5umEXMMTltwZfmbKTuvKFw&_nc_oc=AdrulIUO0gVYij1Fk29RpkA4v4dDSqccZF83Iq6r6TnP_MJ_GM5iueLY5ZNJXG83ikg&ccb=10-5&oh=00_AfxDpwvUaJY2BUFRguDgRGGF79RfplgL247Z7mbpbC5vFw&oe=69EE07B0&_nc_sid=201bca,1725819699856.0,-0.20637457977683,5.5737261648964,336.3736544296113
7332,-0.2130239301922874,5.546598907678128,ok,200,,300,477933690108961,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8jvTBMIHA7YzAMdPGioYgAi0Q6fro3JBgheomgiC67tFYt6wPw0bNn6gS_HQcXnSwXGTm4KTnYSEgG7eMJLatj9MAj6zJcATED6Xq9pGVjdY7dWMgtrm4b0LO_SjLGvSnSoqB78aqJ8acOTC6xNw?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=NdEbqgA-r2QCdiLCS9mXvA&_nc_oc=AdpHhFEpKH2heaiXysBut8JRjNAEB2cPm_sold2_0FLhAoiDmNifwCnAtHBCTTzTQZY&ccb=10-5&oh=00_Afyc9CoWVTTHZ8xtU6PhsogwhRptva3wD3ujY-8NUqTNLQ&oe=69EE1809&_nc_sid=201bca,1566139902500.0,-0.21087837388889,5.5465522594444,237.51460374868444
8128,-0.17778263989249052,5.554145042227133,ok,200,,300,2756489574727078,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_j3vaiqsLwWqBA_5P1huGxvoZ8Gc3uPo82TsjBGE2yOAR3hroeOgWCWjqr4rcbX1RWo5tK2vIRwflza8R4XchLf0QY4HDL67XuK94NVzD_R6B5Mnol8Uq_S2vGz3yXc1UOGOT7nC3fa83oD9zc83s?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=0dLpFSlvKvBQM38KFVBINQ&_nc_oc=AdraTNSOp4b3XSQWBSUIfH8ZdWn5w8ve7pIdTVnCvsXqfCrBzEEVPaTqJHXyaEXp5ME&ccb=10-5&oh=00_Afxoj0JBVBzyHI-CKymnJGkDAlboetgpVbl-SCdhCxww0g&oe=69EDF001&_nc_sid=201bca,1767624262038.0,-0.17580300954186,5.5532309806838,241.51936922951998
6462,-0.23817117638574373,5.570216292644085,no_image,200,,300,,,,,,
5173,-0.23977644689145003,5.5580175581399445,ok,200,,300,108892354615038,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8vom1kjS12ElUjytm237OWIRnRpv7cdbpQ1jjmbRurXXpZ0MKZSQByg4-cA35YC85_Npy7fKNdsQDEDrdGZQlJOWoK4_su_-H66xgOBsF0vs-EuWBSA7Szt3PW2J9mWqzhoQSWXlOCP8llfA6HCA?stp=s1024x576&edm=AOnQwmMEAAAA&_nc_gid=0MZWZT2De7MBXR4jaS0y3A&_nc_oc=AdoH34qMiD8zgkIx0nYsUEJcwaBx6emXK4WuFjLN4abWLAoLvPlhnDJLGjvOwglYLM8&ccb=10-5&oh=00_AfxYXCUF7_c4KZUO2bIrsfOYIG_GcEkf37XkuWpAKnCAsg&oe=69EDF42C&_nc_sid=201bca,1583667034461.0,-0.2400607,5.5567672,142.54814567000298
10807,-0.16215275084239975,5.571007245291498,ok,200,,300,124390427062897,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-qIdn38wmnL-FbTR59q0PqLDBkgOhPC634_nk2l1qDBpLI5gsuncUw9LxpYVoZso7M18WyOdff6G9M8J1kk6tZtAsmXIkgWpLCKEpOd7OrWpcmEXVVNSOhQt3AXu1d70iFHEcrhyUT0s3iCzoAPA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=hu9q9nxEP5gqQTig__E1KQ&_nc_oc=AdrU0RvGdNtimxSF8RMiiHl0X40vH-DJh789nUmJGW1gtwgjWiEdmv_NUaB4gsOZqFE&ccb=10-5&oh=00_AfzshawF_kyCd8tAoHiGSPhXF59jyJM23Ww2I4XdyXadMA&oe=69EDF11B&_nc_sid=201bca,1659925460624.0,-0.16124899735647,5.571993334174,148.41264500757205
10012,-0.1659732102704529,5.564531739912146,ok,200,,300,632273134837790,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9vbVbJR7cxzAUjc3nVtBj88MVCyBMph8PXjpRg9VkMz0AxrQqSDF34KsadziiPFNvnoK-Zn9tMm2I-EW_zwkziJGBVfYOXdE8ab4wXdPqyBbfvtPO-VhEFQJz2upeAyD2--nj0lRTpXxf37aB46w?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=F09j9JUwz0WJj9qk5gjZpw&_nc_oc=AdpKXuKgbK77fxQNnhWE0x4qr42000H2TV2v-qO15duiAPqwWRwQTsv8NamTf9kp8XQ&ccb=10-5&oh=00_AfwzprbT0Pv425J5WxU0KD_vT820K_LvOGsu5kLNhHyD9w&oe=69EDFA43&_nc_sid=201bca,1538146040000.0,-0.16776077444444,5.5618428625,358.5138451070141
